Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP
6;284,716478;4,51056;335,42706;330,202484;351,17204;303,07112;307,271502;0,702984;198,5339634;218,248654;240,889932;211,35666;215,157532;220,7474706;5,137556;2,3973178
6,5;326,501478;7,29446;369,11906;365,214484;385,71804;335,13312;336,999502;1,053874;214,3409634;238,653654;260,740932;227,00466;235,080532;240,4434706;5,592146;2,4949878
7;362,461478;12,27896;395,93306;394,921484;413,16104;362,47912;361,982502;1,527144;226,5069634;254,239654;277,395932;239,90966;250,891532;256,3814706;5,929476;2,6240078
7,5;391,570478;19,00586;419,10806;419,621484;436,74104;385,86512;383,420502;2,568354;236,2259634;267,269654;290,767932;250,30566;262,985532;269,6574706;5,559586;2,3584278
8;415,364478;27,07596;438,12306;439,413484;456,27604;405,98912;401,076502;2,797164;244,7199634;276,955654;302,842932;259,61866;274,775532;281,7034706;6,623716;3,2673078
8,5;434,413478;37,07836;453,07406;455,651484;471,65604;421,68912;416,497502;2,852064;251,0659634;285,821654;311,785932;267,60166;283,922532;291,0504706;6,673756;3,0448378
9;451,043478;49,56236;465,34406;470,017484;483,68804;436,05612;429,612502;3,244164;257,2919634;294,033654;320,377932;273,39566;292,352532;298,8704706;7,480136;4,0124878
9,5;464,313478;63,22046;475,52506;481,692484;494,77004;447,83712;440,622502;3,243864;261,1179634;300,509654;326,092932;278,76066;298,781532;305,4774706;7,160896;3,8289078
10;475,951478;80,09626;484,91006;491,699484;505,06804;459,00212;450,610502;3,940564;265,3469634;306,688654;332,124932;283,68766;305,088532;312,1014706;7,972706;4,2753478
10,5;485,360478;96,89876;492,29706;500,136484;513,36704;467,43112;458,440502;3,995164;267,6599634;312,075654;337,065932;287,65066;310,896532;316,1414706;8,041736;4,1291478
11;494,671478;116,01476;499,61006;507,666484;521,20904;476,18112;466,456502;4,762964;270,2399634;316,489654;341,427932;291,25966;315,623532;320,7334706;8,552096;4,8264078
11,5;502,349478;135,16276;504,91006;514,044484;528,05304;482,90412;472,633502;5,051064;273,4889634;320,540654;345,467932;294,88166;319,492532;324,6184706;8,988286;4,8122378
12;508,559478;154,49376;510,40106;519,788484;533,30104;488,67112;477,568502;5,453264;275,3009634;323,489654;348,140932;296,91866;322,801532;327,7604706;9,333446;5,1245378
12,5;513,802478;173,70076;513,63806;524,035484;537,46504;493,05312;481,889502;5,598564;277,3539634;326,014654;350,344932;299,47066;326,104532;330,5664706;9,891776;5,5908778
13;518,495478;192,81376;516,93706;527,396484;541,33904;496,73712;485,318502;5,518064;279,9439634;329,062654;352,768932;301,23366;328,851532;333,3134706;10,262176;6,4090178
13,5;523,179478;211,39176;520,40706;530,926484;545,01604;500,42212;489,137502;6,282564;281,1179634;331,114654;354,493932;302,97566;331,294532;335,0184706;10,784076;6,8856078
14;527,332478;229,65176;522,99406;533,952484;548,54204;503,78312;492,175502;7,208564;282,2379634;332,830654;355,478932;304,13366;333,193532;336,4514706;11,100276;6,6492778
14,5;530,312478;246,29176;524,98706;536,298484;549,74604;505,11812;494,170502;6,886664;283,5679634;334,417654;356,837932;304,99666;333,516532;336,8324706;11,516876;6,8123578
15;533,638478;261,90176;526,55906;537,198484;551,06004;506,10212;495,119502;7,008764;285,2189634;335,924654;357,981932;305,58866;332,104532;335,1834706;11,698076;7,2377078
15,5;536,248478;277,67876;528,74506;538,660484;552,59704;508,36612;497,277502;7,921164;285,8799634;337,667654;357,999932;306,73766;329,811532;329,7734706;12,426676;8,0654878
16;538,188478;291,54076;529,48906;539,420484;553,56304;509,41712;496,581502;7,688464;286,9639634;339,341654;357,382932;306,58666;325,151532;322,5864706;13,054276;8,4043178
16,5;539,948478;304,17976;530,18706;540,160484;554,03604;510,39112;495,301502;8,237764;286,9929634;339,706654;351,875932;305,25266;318,274532;312,3524706;12,847476;8,3117778
17;542,042478;316,45976;531,05206;539,541484;549,04004;504,21912;489,007502;8,931664;287,8199634;339,053654;343,599932;302,82566;309,396532;299,6684706;12,535176;8,3455378
17,5;543,454478;327,12676;532,04106;529,915484;534,10704;474,41012;474,310502;9,034164;288,5709634;335,640654;333,885932;300,80166;298,062532;286,5194706;13,674376;9,1465378
18;544,986478;337,30876;532,89906;509,664484;515,04404;435,84012;453,480502;9,177964;289,3869634;330,663654;321,886932;296,23566;285,929532;273,7464706;13,855176;9,6761378
18,5;546,405478;346,61576;534,11206;480,317484;492,17404;402,92612;428,850502;9,495964;290,2239634;322,077654;307,032932;291,39366;276,159532;263,6884706;14,588076;9,9275378
19;547,788478;355,64076;536,11406;450,883484;467,94204;379,36212;404,177502;10,403364;290,2129634;312,160654;294,190932;285,82166;267,999532;257,4134706;13,834676;9,3095378
19,5;548,221478;362,60876;535,87106;421,798484;440,56604;360,79812;381,200502;9,745564;290,9849634;303,098654;285,521932;283,65366;264,792532;255,7524706;14,252776;9,5763378
20;548,354478;369,20776;535,24406;396,528484;416,70504;343,49712;363,011502;10,104664;291,7259634;297,566654;283,684932;281,68466;266,415532;258,6974706;15,297976;10,2085378
